scenario,bid,win_probability,expected_reward,expected_cost,clairvoyant_probability
generous,0.0,0.0,0.0,0.0,0.0
generous,0.1,0.0010000000000000002,0.0007000000000000002,0.00010000000000000003,0.0
generous,0.2,0.008000000000000002,0.004800000000000002,0.0016000000000000005,0.0
generous,0.30000000000000004,0.027000000000000014,0.013500000000000007,0.008100000000000005,0.0
generous,0.4,0.06400000000000002,0.025600000000000008,0.025600000000000008,0.0
generous,0.5,0.125,0.037500000000000006,0.0625,-0.0
generous,0.6000000000000001,0.2160000000000001,0.04320000000000001,0.12960000000000008,1.0
generous,0.7000000000000001,0.3430000000000001,0.034300000000000004,0.2401000000000001,0.0
generous,0.8,0.5120000000000001,0.0,0.40960000000000013,0.0
tight,0.0,0.0,0.0,0.0,0.0
tight,0.1,0.0010000000000000002,0.0007000000000000002,0.00010000000000000003,0.0
tight,0.2,0.008000000000000002,0.004800000000000002,0.0016000000000000005,0.0
tight,0.30000000000000004,0.027000000000000014,0.013500000000000007,0.008100000000000005,0.0
tight,0.4,0.06400000000000002,0.025600000000000008,0.025600000000000008,0.6097560975609758
tight,0.5,0.125,0.037500000000000006,0.0625,0.39024390243902424
tight,0.6000000000000001,0.2160000000000001,0.04320000000000001,0.12960000000000008,0.0
tight,0.7000000000000001,0.3430000000000001,0.034300000000000004,0.2401000000000001,0.0
tight,0.8,0.5120000000000001,0.0,0.40960000000000013,0.0
